uid,formula,reduced_formula,natoms,ehull,hform,gap_pbe,gap_hse,dyn_stab,layergroup,lgnum,international,bravais_type,layergroup_norm
2NiSe-5,Ni2Se2,NiSe,4,0.32433512724469704,0.0389919866433841,0.0,,No,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2NiSe-2,Ni2Se2,NiSe,4,0.039974789168580216,-0.24536835143273272,0.0,,Yes,p4/mmm,61,P4/mmm,Square (tp),p4/mmm
2NiSe-4,Ni2Se2,NiSe,4,0.27964318622604,-0.005699954375272931,0.0,,Yes,p-6m2,78,P-6m2,Hexagonal (hp),p-6m2
2NiSe-3,Ni2Se2,NiSe,4,0.08706322175261949,-0.19827991884869345,0.0,,Yes,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2NiSe-1,Ni2Se2,NiSe,4,0.022298327888025327,-0.2630448127132876,0.0,,Yes,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2BiO-1,Bi2O2,BiO,4,0.3188257514849815,-0.7152191295618868,0.12027701846549643,1.0415505741889353,Yes,p-6m2,78,P-6m2,Hexagonal (hp),p-6m2
2BiO-3,Bi2O2,BiO,4,0.5324750388027664,-0.501569842244102,0.0,,No,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2BiO-2,Bi2O2,BiO,4,0.44537870860489925,-0.5886661724419691,,,Unknown,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2ClCu-3,Cu2Cl2,CuCl,4,0.06862219022538651,-0.38276604689281646,1.2276910678084825,3.5606963376284115,No,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2ClCu-4,Cu2Cl2,CuCl,4,0.07995361180688709,-0.3714346253113159,1.4465651527390835,3.6567472735256104,No,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2ClCu-1,Cu2Cl2,CuCl,4,0.0,-0.451388237118203,2.6120268581214994,4.390686636296947,Yes,cmme,48,Cmme,Centered rectangular (oc),cmme
2ClCu-2,Cu2Cl2,CuCl,4,0.04559667837791226,-0.4057915587402907,1.0730258141885798,,No,cm2e,36,Aem2,Centered rectangular (oc),cm2e
2CuH-2,Cu2H2,CuH,4,0.18360842707170066,0.18360842707170066,,,Unknown,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2CuH-3,Cu2H2,CuH,4,0.23028449851712463,0.23028449851712463,,,Unknown,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2CuH-1,Cu2H2,CuH,4,0.11094646472169822,0.11094646472169822,,,Unknown,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2OsS-5,Os2S2,OsS,4,0.6585375765731634,0.37316325801643657,0.0,,No,pm11,11,Pm,Rectangular (op),pm11
2OsS-1,Os2S2,OsS,4,0.3464774615556437,0.06110314299891684,0.0,,No,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2OsS-2,Os2S2,OsS,4,0.3627312034105091,0.07735688485378223,0.0,,Yes,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2OsS-3,Os2S2,OsS,4,0.44670597252807825,0.1613316539713514,0.0,,No,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2OsS-4,Os2S2,OsS,4,0.5455142600377973,0.26013994148107056,0.0,,No,p-6m2,78,P-6m2,Hexagonal (hp),p-6m2
2INi-1,Ni2I2,NiI,4,0.18404642962829693,0.08677611932355589,0.0,,Yes,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2INi-2,Ni2I2,NiI,4,0.19225777228079372,0.09498746197605268,0.0,,Yes,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2FHf-2,Hf2F2,HfF,4,1.2872669271565789,-1.11702324736987,0.0,,No,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2FHf-1,Hf2F2,HfF,4,0.1774263491206387,-2.22686382540581,0.0,,Yes,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2FIr-1,Ir2F2,IrF,4,0.37078880823162885,-0.5909806691454182,0.0,,No,p112/a,7,P2/c,Oblique (mp),p112/a
2FIr-2,Ir2F2,IrF,4,1.3775719696126605,0.4158024922356134,0.0,,No,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2AuSr-1,Au2Sr2,SrAu,4,0.23392675272630825,-0.4926248416691976,,,Unknown,p6/mmm,80,P6/mmm,Hexagonal (hp),p6/mmm
2HSn-1,Sn2H2,SnH,4,0.17119145366178845,0.17119145366178845,0.23630577341464232,0.6848042591506873,Yes,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
8CuTe-1,Cu8Te8,CuTe,16,0.044867850383801144,-0.04408037986515145,0.0,,No,pm2_1n,32,Pmn2_1,Rectangular (op),pm2_1n
